lat,long,type
-28.82581015,153.25842505,8
-28.82288115,153.256644,8
-28.82376965,153.25695093,8
-28.82376965,153.25695093,8
-28.81730332,153.25929263,6
-28.81897256,153.26001406,7
-28.82382112,153.25820162,8
-28.82382112,153.25820162,8
-28.82587241,153.25979534,7
-28.82992135,153.2629065,8
-28.83353092,153.25594198,8
-28.82356915,153.25745392,8
-28.82284785,153.25995536,7
-28.82334817,153.25881665,8
-28.82373811,153.25787818,6
-28.82373811,153.25787818,7
-28.82319223,153.25974111,7
-28.82565225,153.25970001,6
-28.82565225,153.25970001,6
-28.82368257,153.25743501,7
-28.82399368,153.25813128,8
-28.82436324,153.25815176,8
-28.82566568,153.25975674,7
-28.82390423,153.25615349,8
-28.82340314,153.25765234,8
-28.82213475,153.2636166,7
-28.82401471,153.25771746,8
-28.82454122,153.25806907,8
-28.82438346,153.25761064,8
-28.82559936,153.25941172,6
-28.82434466,153.25723614,8
-28.82356311,153.25733406,8
-28.82011321,153.260831,6
-28.82251228,153.2603296,8
-28.8238387,153.25828878,8
-28.82532117,153.2638691,8
-28.82515959,153.2595635,7
-28.82549609,153.26023095,8
-28.82609326,153.25968031,7
-28.82710277,153.25481185,8
-28.82443497,153.25610698,8
-28.82446135,153.25500175,8
-28.82439255,153.25492973,6
-28.82164987,153.25004878,6
-28.81997303,153.26084738,6
-28.82370735,153.25745722,8
-28.82244318,153.26006522,8
-28.82352647,153.25842488,8
-28.8246962,153.25802597,7
-28.82577252,153.25558763,8
-28.82992069,153.25023689,8
-28.82316121,153.25587926,8
-28.81608019,153.25501631,8
-28.81577597,153.25996223,7
-28.82669765,153.2635001,8
-28.82123944,153.25668862,6
-28.82360798,153.25745923,8
-28.82292057,153.26021195,8
-28.82345684,153.28746574,8
-28.82451712,153.26114688,8
-28.82430981,153.25719906,8
-28.82418576,153.25623143,8
-28.82325712,153.25443984,8
-28.81913956,153.25542837,8
-28.82114821,153.26160376,6
-28.82369636,153.25757685,8
-28.81185957,153.27897025,7
-28.82284084,153.26123599,8
-28.82602191,153.25919796,6
-28.82460715,153.25443067,6
-28.81609854,153.25988882,7
-28.82318785,153.25987628,8
-28.82318277,153.26014479,8
-28.8237822,153.25807565,8
-28.82226313,153.25581704,8
-28.8237589,153.25742386,8
-28.82389494,153.26406637,7
-28.82529769,153.26078215,8
-28.82502586,153.25543717,8
-28.82345746,153.25427572,7
-28.81787864,153.25506557,6
-28.8236137,153.25719559,8
-28.8229448,153.25905985,8
-28.823008,153.25934108,8
-28.82266669,153.26056174,8
-28.82333547,153.25919845,8
